cod_ibge,uf,qnt_produzida
4110003,PR,1.7
4110904,PR,11.049999999999999
4113809,PR,2.55
4123600,PR,11.049999999999999
4124509,PR,9.35
4100806,PR,34.85
4120507,PR,15.299999999999999
4126504,PR,17.0
4122404,PR,24.65
2609303,PE,68.0
2613503,PE,102.0
2600104,PE,39.1
2602506,PE,11.9
2603405,PE,8.5
2603900,PE,37.4
2606903,PE,49.3
2607109,PE,17.849999999999998
2607703,PE,10.2
2611533,PE,44.199999999999996
2612802,PE,16.15
2613602,PE,50.15
2614402,PE,21.25
2614600,PE,49.3
2615904,PE,22.95
2601805,PE,40.8
2606606,PE,63.75
2603009,PE,1020.0
2608750,PE,892.5
2611101,PE,62475.0
2612604,PE,1734.0
2601607,PE,499.8
2603926,PE,40.8
2605707,PE,129.2
2607406,PE,25.5
2608057,PE,1020.0
2611002,PE,32512.5
2614808,PE,2550.0
2602209,PE,845.75
2608909,PE,64.6
2609105,PE,27.2
2609709,PE,40.8
2610509,PE,38.25
2608701,PE,38.25
2610202,PE,10.2
2600708,PE,48.449999999999996
2603603,PE,73.1
2606200,PE,229.5
2607802,PE,73.1
2610608,PE,85.0
2615300,PE,17.849999999999998
2616308,PE,260.09999999999997
2606101,PE,433.5
2600401,PE,193.79999999999998
2601409,PE,1190.0
2601508,PE,267.75
2604205,PE,163.2
2605905,PE,340.0
2607950,PE,102.0
2609204,PE,46.75
2610004,PE,97.75
2611804,PE,153.0
2611903,PE,765.0
2613404,PE,306.0
2614857,PE,701.25
2616506,PE,114.75
2607752,PE,9.35
2603454,PE,55.25
2607901,PE,709.75
2609402,PE,376.55
2602902,PE,1700.0
2607208,PE,1394.0
2201200,PI,30.599999999999998
2202059,PI,42.5
2206209,PI,68.0
2202083,PI,114.75
2202703,PI,61.199999999999996
2204659,PI,51.0
2205706,PI,459.0
2207702,PI,517.65
2200400,PI,114.75
2211001,PI,1258.0
2211100,PI,27.2
2200608,PI,42.5
2204709,PI,102.0
2208106,PI,32.3
2211308,PI,178.5
2203909,PI,918.0
2204501,PI,42.5
2205300,PI,119.0
2200459,PI,212.5
2201903,PI,23.8
2209757,PI,42.5
2202307,PI,41.65
2201804,PI,170.0
2204352,PI,17.0
2204808,PI,17.0
2207553,PI,34.0
2208007,PI,680.0
2210938,PI,204.0
2201572,PI,59.5
2202802,PI,20.4
2205003,PI,61.199999999999996
2207801,PI,23.8
