cod_ibge,uf,qnt_produzida
26013,PE,76611.40964499999
26010,PE,13912.383617499998
26005,PE,63683.41368999999
26002,PE,10909.0709075
26009,PE,39887.990589999994
26001,PE,5511.6848725
26014,PE,24877.983717499996
27006,AL,41521.31211749999
27009,AL,35845.887514999995
27011,AL,221929.35677499996
27012,AL,44296.735982499995
27002,AL,9303.5709575
27010,AL,5910.047332499999
27005,AL,13016.245289999999
27013,AL,11342.1660375
27003,AL,8490.011325
27008,AL,16235.396734999997
28011,SE,174350.20626999997
28010,SE,15916.777649999998
28008,SE,2540.44672
28013,SE,12390.171192499998
28004,SE,17160.597092499997
28006,SE,18786.653112499996
28007,SE,8584.64013
28005,SE,9367.365657499999
29017,BA,27116.823272499998
29001,BA,44497.334872499996
29007,BA,12431.2833325
29027,BA,11955.83561
29020,BA,62845.0450075
29021,BA,682582.2023075
29031,BA,88135.7449925
29010,BA,19812.50733
29004,BA,55981.621325
29019,BA,33283.112649999995
29016,BA,26419.334552499997
29012,BA,116556.10663499999
29032,BA,101304.74314749999
29026,BA,15125.1917475
29009,BA,13122.215374999998
29011,BA,11482.159962499998
29029,BA,28223.661317499995
29024,BA,37424.451924999994
29005,BA,21125.437697499998
29028,BA,69204.49055999999
29015,BA,9586.3941275
29003,BA,9790.714375
29008,BA,14143.462197499997
29030,BA,17343.8296475
29006,BA,8251.135615
31024,MG,20399.690495
31066,MG,37787.78205
31049,MG,36996.88034
31059,MG,41126.197974999995
31014,MG,9760.749699999998
31047,MG,41315.977535
31051,MG,48721.29573
31018,MG,200297.35510500002
31023,MG,40565.611265
31044,MG,25015.433409999998
31054,MG,26853.34711
31042,MG,13611.846815
31031,MG,64026.188109999996
31030,MG,1214481.1662649997
31039,MG,125963.87979999998
31065,MG,164170.37451999998
31050,MG,79265.2104
31009,MG,11635.744115
31026,MG,31401.60773
31046,MG,18032.74324
31002,MG,41496.083865
31040,MG,26724.370709999996
31006,MG,28819.31595
31027,MG,83429.996545
31045,MG,17484.363225
31017,MG,28124.22528
31020,MG,50914.35516000001
31043,MG,115824.72255500001
31022,MG,84999.82358499999
31034,MG,53515.53277
31025,MG,25863.683554999996
31058,MG,25617.47682
31055,MG,3576.5616349999996
31010,MG,11037.61606
31021,MG,30383.154799999997
31037,MG,64986.60165999999
31048,MG,37699.110775
31057,MG,28204.83553
31041,MG,4636.931895
31033,MG,43679.23975
31003,MG,32879.30877
31056,MG,31291.747475
31004,MG,18394.568105
31032,MG,1104.360425
31061,MG,26478.854919999998
31019,MG,32282.101975
31007,MG,96151.44557
31063,MG,25333.959055
31016,MG,9346.873645
31029,MG,28570.345434999996
31013,MG,5604.254894999999
31060,MG,13819.590945
31052,MG,35535.992295000004
31064,MG,47089.053325
31005,MG,17623.012855
31053,MG,17070.48717
31015,MG,32536.369735
31001,MG,19682.950215
31062,MG,18404.47165
32006,ES,70724.20894
32012,ES,51166.7804
32009,ES,433495.20796
32003,ES,28624.239145
32010,ES,34752.69098
32002,ES,11688.716564999999
32005,ES,31007.078134999996
33013,RJ,48405.533865000005
33010,RJ,153138.97696500004
33005,RJ,34216.057029999996
33012,RJ,41074.607415000006
33011,RJ,158018.430555
33018,RJ,2876593.81456
33001,RJ,32626.422899999998
33016,RJ,27771.843329999996
33004,RJ,70604.44514
33003,RJ,126989.70281
33006,RJ,14158.844939999999
33009,RJ,47305.088795
33017,RJ,61339.563635
33014,RJ,24564.706954999998
33002,RJ,16084.969285
33007,RJ,44143.09415999999
33015,RJ,113537.00365999999
35035,SP,26967.353034999996
35029,SP,47505.002215
35030,SP,80406.881855
35020,SP,124616.76736499999
35042,SP,39922.111155
35036,SP,130115.53799
35015,SP,24974.89797
35046,SP,346094.3505
35032,SP,711031.001465
35024,SP,125192.78518
35033,SP,18730.597690000002
35016,SP,32165.7929
35051,SP,98637.46568
35017,SP,59794.610615
35027,SP,151831.47871
35031,SP,100678.747525
35059,SP,358295.51793999993
35039,SP,54204.63524999999
35048,SP,115078.501955
35006,SP,3527.50454
35022,SP,37070.12051
35004,SP,180302.788695
35021,SP,85231.059845
35009,SP,34171.83655
35014,SP,278722.83701500006
35057,SP,461074.96858
35037,SP,19937.678605
35013,SP,88343.07612499999
35063,SP,383459.73484
35018,SP,51247.160335
35062,SP,346987.05143999995
35043,SP,61522.203429999994
35023,SP,43991.316575
35026,SP,60076.285859999996
35041,SP,43612.678715
35050,SP,374501.172285
35019,SP,31807.88339
35058,SP,125636.60218500001
35047,SP,173415.21862000003
35049,SP,13232.05738
35040,SP,52951.26102
35044,SP,10847.37587
35028,SP,133948.90085
35054,SP,79653.06086
35005,SP,50750.601195
35060,SP,266035.01397999993
35012,SP,92452.58667
35025,SP,75276.61523
35061,SP,3505721.3473
35034,SP,23003.631885
35002,SP,16048.349199999999
35038,SP,75169.51875500001
35010,SP,48728.66581
35011,SP,21751.86986
35008,SP,17079.69977
35056,SP,53574.723725
35001,SP,22379.478235000002
35053,SP,2454.0063250000003
35007,SP,7961.52892
35055,SP,13004.275845
35003,SP,22134.65339
41037,PR,520454.42618750007
41025,PR,2859.7987250000006
41015,PR,16394.406612500003
