cod_ibge,qnt_produzida,uf
3168408,780,MG
3170057,405,MG
3170578,360,MG
3101102,1860,MG
3102209,100,MG
3117405,660,MG
3118403,1800,MG
3120839,90,MG
3127370,50,MG
3131208,924,MG
3134103,600,MG
3144003,2790,MG
3151909,825,MG
3154309,495,MG
3159506,150,MG
3168051,312,MG
3105103,38400,MG
3119807,1128,MG
3123403,1725,MG
3130309,39125,MG
3141306,26573,MG
3151503,90540,MG
3164308,14760,MG
3168200,900,MG
3170602,3867,MG
3114204,918,MG
3116605,4572,MG
3117603,855,MG
3122306,1575,MG
3130200,200,MG
3133808,1605,MG
3145208,120,MG
3149705,233,MG
3160405,2700,MG
3161809,864,MG
3164605,1275,MG
3104205,34752,MG
3110400,2400,MG
3119955,4255,MG
3126109,78600,MG
3133501,2750,MG
3146503,10800,MG
3148905,1260,MG
3150505,22800,MG
3100807,6600,MG
3111200,19250,MG
3111903,2800,MG
3112000,30000,MG
3120201,13050,MG
3149903,6360,MG
3158805,357,MG
3108008,3024,MG
3114006,3120,MG
3114501,2475,MG
3130002,2800,MG
3145604,7848,MG
3147709,592,MG
3150604,582,MG
3159902,3960,MG
3161205,6240,MG
3101904,17652,MG
3107604,15300,MG
3112406,6010,MG
3112802,5040,MG
3115102,7458,MG
3116407,2400,MG
3121209,5050,MG
3126307,4485,MG
3129707,1620,MG
3133758,8940,MG
3147907,43020,MG
3152907,17280,MG
3162203,32416,MG
3162948,13296,MG
3104106,3933,MG
3109501,9360,MG
3128303,1669,MG
3128709,5265,MG
3132909,3150,MG
3134806,3590,MG
3136900,5760,MG
3143005,10710,MG
3143203,5064,MG
3144102,5865,MG
3145109,9516,MG
3163904,8200,MG
3164704,14840,MG
3165107,1242,MG
3101607,72690,MG
3102001,17280,MG
3104304,11700,MG
3114402,21495,MG
3114709,1300,MG
3117108,7650,MG
3122405,8712,MG
3125200,3120,MG
3139003,38400,MG
3147204,34890,MG
3151701,6431,MG
3166907,5280,MG
3107109,28840,MG
3110905,9450,MG
3111309,9690,MG
3111606,33000,MG
3113909,12996,MG
3118700,9600,MG
3123601,10800,MG
3128105,16080,MG
3130507,7938,MG
3142601,1800,MG
3158300,5250,MG
3160801,8910,MG
3165206,14400,MG
3169307,89900,MG
3169406,8730,MG
3170701,3450,MG
3101409,108,MG
3102605,7000,MG
3105301,300,MG
3108404,5625,MG
3110301,12540,MG
3111002,13050,MG
3129905,240,MG
3130606,1490,MG
3134905,2703,MG
3143401,1380,MG
3146008,4140,MG
3151800,7500,MG
3159209,15375,MG
3107901,2119,MG
3108305,3060,MG
3109105,3315,MG
3110509,1100,MG
3110608,2040,MG
3117900,1350,MG
3119906,540,MG
3124401,6997,MG
3124500,1320,MG
3125101,600,MG
3127404,490,MG
3131505,6200,MG
3133600,624,MG
3143807,7020,MG
3152501,14490,MG
3165404,390,MG
3165578,1440,MG
3165800,1764,MG
3169059,922,MG
3169109,3240,MG
3109709,4703,MG
3113602,3060,MG
3117207,750,MG
3117801,1706,MG
3119005,10145,MG
3129202,2800,MG
3144409,210,MG
3149101,1133,MG
3159605,3878,MG
3162005,7560,MG
3162302,3729,MG
3163201,560,MG
3164407,6480,MG
3167400,10080,MG
3169802,5328,MG
3101300,96,MG
3104908,9000,MG
3110707,16000,MG
3114105,8651,MG
3115508,100,MG
3117702,53208,MG
3133006,225,MG
3133105,370,MG
3135902,1908,MG
3137809,1530,MG
3145505,336,MG
3147600,120,MG
3152600,714,MG
3163706,39,MG
3164902,981,MG
3167806,945,MG
3101201,5250,MG
3102803,13500,MG
3103603,125,MG
3107208,385,MG
3107505,48,MG
3114808,1350,MG
3120805,34080,MG
3138500,675,MG
3141900,38600,MG
3147808,4,MG
3165305,13000,MG
3166402,113,MG
3167004,1125,MG
3108909,344,MG
3118502,300,MG
3120508,539,MG
3121100,525,MG
3122801,95,MG
3132404,311,MG
3139904,525,MG
3140407,75,MG
3147303,480,MG
3150901,1008,MG
3151008,275,MG
3171709,1410,MG
3172202,40,MG
3114600,34320,MG
3130408,2867,MG
3130804,17400,MG
3134301,7200,MG
3134509,12600,MG
3138203,25600,MG
3138708,17401,MG
3144607,17400,MG
3154705,3600,MG
3115201,6735,MG
3119708,600,MG
3123007,1150,MG
3137403,49000,MG
3139102,69450,MG
3144508,13040,MG
3150307,17790,MG
3152709,14750,MG
3154200,2784,MG
3156106,1960,MG
3158706,798,MG
3162500,142700,MG
3165008,10400,MG
3168804,3000,MG
3101631,675,MG
3102902,2251,MG
3105608,11745,MG
3105905,375,MG
3112208,1680,MG
3113107,756,MG
3113206,35250,MG
3121506,2016,MG
3129400,9150,MG
3154408,3798,MG
3157302,468,MG
3166204,4800,MG
3100401,276,MG
3105707,450,MG
3122702,140,MG
3128204,3384,MG
3135506,2365,MG
3145851,570,MG
3150208,108,MG
3152105,710,MG
3154002,4320,MG
3154903,8970,MG
3155009,165,MG
3157401,630,MG
3160108,195,MG
3164001,168,MG
3165560,336,MG
3166303,936,MG
3170503,269,MG
3171154,1080,MG
3100302,1440,MG
3102050,324,MG
3153509,712,MG
3112109,450,MG
3112901,600,MG
3116001,690,MG
3123528,540,MG
3137700,1350,MG
3138674,2340,MG
3139409,3150,MG
3139508,465,MG
3140530,165,MG
3140902,2562,MG
3148756,527,MG
3154150,39,MG
3157906,2730,MG
3158904,900,MG
3162559,1368,MG
3163607,336,MG
3167608,1650,MG
3102100,4513,MG
3102506,1575,MG
3103702,2100,MG
3108701,1674,MG
3110202,2470,MG
3111705,2040,MG
3116308,2604,MG
3116704,4320,MG
3124005,7961,MG
3137908,1260,MG
3148301,3180,MG
3148806,1870,MG
3150802,5820,MG
3152303,5400,MG
3153103,5292,MG
3155207,2730,MG
3163805,3900,MG
3166006,924,MG
3168507,2100,MG
3171303,2371,MG
3103108,32,MG
3105509,225,MG
3110103,324,MG
3113305,660,MG
3122009,1800,MG
3124203,2750,MG
3124906,235,MG
3125309,68,MG
3125952,1260,MG
3142106,720,MG
3142205,280,MG
3143906,1800,MG
3145877,1440,MG
3148202,146,MG
3149002,137,MG
3156452,300,MG
3161403,117,MG
3164431,210,MG
3169208,504,MG
3171402,408,MG
3104601,105,MG
3121902,234,MG
3123304,675,MG
3128402,225,MG
3128808,810,MG
3129004,976,MG
3141603,432,MG
3151305,480,MG
3155801,432,MG
3156304,150,MG
3161502,672,MG
3165701,720,MG
