cod_ibge,qnt_produzida,uf
5102694,103262,MT
5103353,200912,MT
5105309,1856,MT
5106315,3768,MT
5106778,144000,MT
5107180,315000,MT
5107743,134820,MT
5107776,108000,MT
5107859,724826,MT
5107354,421000,MT
5107883,21038,MT
5108600,180000,MT
5100201,609000,MT
5102603,91200,MT
5102702,1053000,MT
5106174,55680,MT
5106257,211770,MT
5106281,257400,MT
5107065,1298304,MT
5107792,348000,MT
5101001,13187,MT
5101803,123750,MT
5103106,41250,MT
5103361,29696,MT
5106182,111605,MT
5106752,112215,MT
5105507,134025,MT
5101704,4787,MT
5103452,16174,MT
5106232,11072,MT
5106851,264,MT
5107958,713811,MT
5101258,4832,MT
5104500,4787,MT
5105234,6287,MT
5105622,7545,MT
5106828,8906,MT
5107206,214,MT
5107750,7389,MT
5107107,8486,MT
5100508,23609,MT
5101308,12402,MT
5106000,89040,MT
5108857,18869,MT
5107263,52579,MT
5104906,6800,MT
5107701,125200,MT
5103007,114621,MT
5103403,1176,MT
5106109,9243,MT
5107800,134865,MT
5102504,25466,MT
5106505,30000,MT
5102678,846000,MT
5107040,939600,MT
5101209,4317,MT
5103908,194040,MT
5104203,236640,MT
5106653,7277,MT
5107008,224460,MT
5107198,67284,MT
5108105,95760,MT
5108204,67650,MT
5103601,125280,MT
5104609,615600,MT
5104807,174000,MT
5105200,123192,MT
5106372,229555,MT
5107602,290700,MT
5107404,7172,MT
5100300,145052,MT
5100409,320550,MT
5100607,201852,MT
5003207,15730,MS
5006903,23100,MS
5000708,34043,MS
5003488,49512,MS
5005608,26275,MS
5000252,31200,MS
5002605,94335,MS
5003306,42000,MS
5003900,7763,MS
5006408,36300,MS
5007406,71250,MS
5007695,504000,MS
5007935,200550,MS
5001508,289000,MS
5002704,394800,MS
5003108,1624,MS
5004908,104040,MS
5007307,12367,MS
5007505,20400,MS
5007901,931000,MS
5008008,100968,MS
5002902,39000,MS
5002951,420000,MS
5003256,318200,MS
5006275,272000,MS
5001003,5671,MS
5006309,10422,MS
5007802,4096,MS
5000203,9570,MS
5002308,9472,MS
5007109,83850,MS
5007554,4423,MS
5008305,689,MS
5000807,81670,MS
5001904,26320,MS
5002001,90150,MS
5006200,140172,MS
5007976,21000,MS
5002100,142720,MS
5002159,25032,MS
5002209,201250,MS
5002803,11491,MS
5004106,80100,MS
5005004,61852,MS
5005806,24643,MS
5000609,336600,MS
5000906,157500,MS
5001243,414000,MS
5002407,385000,MS
5003504,52200,MS
5003702,684000,MS
5003801,50400,MS
5004502,292500,MS
5005152,82434,MS
5005251,456300,MS
5005400,1115100,MS
5006002,185925,MS
5006606,1045000,MS
5007208,437000,MS
5008404,31990,MS
5000856,42807,MS
5003157,88920,MS
5003454,49500,MS
5003751,66000,MS
5004007,7920,MS
5004304,146250,MS
5004601,207400,MS
5004700,82200,MS
5004809,8120,MS
5005103,87000,MS
5005681,26040,MS
5005707,363000,MS
5006259,31500,MS
5006358,57337,MS
5007703,98800,MS
5007950,63855,MS
1501451,73600,PA
1504752,147200,PA
1505650,2160,PA
1506807,96000,PA
1507953,35945,PA
1503457,21290,PA
1505031,66000,PA
1506195,2244,PA
1508050,6300,PA
1500602,50400,PA
1508159,690,PA
1500131,16800,PA
1502939,322770,PA
1505502,571128,PA
1506187,146640,PA
1508126,162918,PA
1502764,24503,PA
1507300,12199,PA
1508084,1512,PA
1500347,2025,PA
1505536,1620,PA
1501758,1590,PA
1504208,1628,PA
1507508,1098,PA
1505551,850,PA
1506138,17393,PA
1506161,1667,PA
1508407,360,PA
1502707,17123,PA
1503044,15450,PA
1506583,170004,PA
1506708,241392,PA
4100608,1260,PR
4100905,4981,PR
4106704,13500,PR
4107108,11349,PR
4110300,3549,PR
4111308,1030,PR
4112603,5184,PR
4113502,2517,PR
4115002,1230,PR
4115903,8320,PR
4116505,750,PR
